t(s),T_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
0.0,26.5,25.062,25.125,25.0,25.187,26.2755859375,24.5708984375,24.6587890625,24.7974609375,1019.1651486582025,1019.555110490766,1019.4041092836068,1019.2072712894685,33.49304185667498,43.527179081295316,36.70844774108083,34.14607984569444,4.095875,4.095875,4.095875,1.033375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
30.0,26.625,25.062,25.125,25.0,25.25,26.351953125,24.586328125,24.6890625,24.82265625,1019.1388744994551,1019.5320374314414,1019.423472003706,1019.2108850100069,33.11242748340301,43.643342371609315,36.580910753768435,34.38010001902234,4.095875,4.095875,4.095875,0.554875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
60.002,26.875,25.125,25.25,25.125,25.375,26.4181640625,24.60703125,24.704296875,24.848046875,1019.1011518539002,1019.5389016402045,1019.3992160320458,1019.1815587308046,32.99603335837886,43.06458449603471,36.73041679156491,34.4856439099577,4.095875,4.095875,4.095875,0.592875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
90.004,27.25,25.25,25.437,25.312,25.625,26.5150390625,24.643359375,24.7294921875,24.90859375,1019.1169957024166,1019.5509966299003,1019.3996002237021,1019.1599871318956,33.005611845809355,43.357244685449096,36.59183863192241,34.27867287696336,4.095875,4.095875,4.095875,0.5347500000000001,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
120.005,27.5,25.312,25.562,25.312,25.75,26.6576171875,24.6744140625,24.7498046875,24.9591796875,1019.1739450419389,1019.5768007129777,1019.3984054519876,1019.1765157926957,33.11960323315423,43.70495950893776,36.64150849213829,34.35059880549874,4.095875,4.095875,4.095875,0.543,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
150.007,27.875,25.437,25.687,25.562,25.875,26.7951171875,24.7158203125,24.780078125,25.0298828125,1019.1609796037869,1019.5337334564092,1019.3869051875353,1019.175301124357,32.89198680776725,43.79910476192116,36.85749235102233,34.30531053131154,4.095875,4.095875,4.095875,0.557625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
180.008,28.125,25.437,25.75,25.625,25.937,26.937890625,24.7623046875,24.8306640625,25.0955078125,1019.0970838749054,1019.5376047431757,1019.3951632086116,1019.1723572908982,33.41929113758772,44.57161149815045,36.60789715879317,34.611520464578625,4.095875,4.095875,4.095875,0.537625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
210.01,28.375,25.5,25.812,25.687,26.0,27.075390625,24.808984375,24.87109375,25.1611328125,1019.1402803881782,1019.5432687834874,1019.3984647810393,1019.1707940681607,32.70078675771828,44.859148950124414,36.78502108960137,34.69461717550677,4.095875,4.095875,4.095875,0.531875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
240.012,28.625,25.562,25.875,25.75,26.125,27.2078125,24.8658203125,24.911328125,25.2216796875,1019.1371906630186,1019.5706193020711,1019.3881577637095,1019.1755984322552,32.55539925588729,44.936984345837004,37.11746590160709,34.83354629704745,4.095875,4.095875,4.095875,0.55475,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
270.014,28.875,25.625,25.937,25.812,26.187,27.325,24.9072265625,24.9568359375,25.282421875,1019.146503260693,1019.5160499868421,1019.3708416946689,1019.1704340138815,33.088774508666454,45.11946251688381,37.17830039034304,35.39111406814694,4.095875,4.095875,4.095875,0.559125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
300.015,29.125,25.625,25.937,25.875,26.25,27.447265625,24.958984375,24.9921875,25.3328125,1019.172597423237,1019.5248962297372,1019.3592693645707,1019.1409886072778,33.21445164314543,45.69938785447936,37.033940250075,34.93848648456684,4.095875,4.095875,4.095875,0.5640000000000001,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
330.017,29.375,25.687,26.0,25.937,26.312,27.564453125,25.0056640625,25.0427734375,25.3884765625,1019.0875627169572,1019.5036887261557,1019.3580531334654,1019.1231884162897,33.06937641502559,46.00867284383583,37.07812641876253,35.6413736104307,4.095875,4.095875,4.095875,0.60775,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
360.019,29.5,25.75,26.062,25.937,26.375,27.6662109375,25.0470703125,25.093359375,25.4388671875,1019.1348402471153,1019.491135594594,1019.3229576812029,1019.1519032287994,33.123259528006635,46.20243359508668,37.39397875645881,35.3506140956577,4.095875,4.095875,4.095875,0.621,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
390.02,29.75,25.75,26.125,26.0,26.437,27.7529296875,25.0833984375,25.15390625,25.49453125,1019.1319089020703,1019.5100957061403,1019.3484534578635,1019.1452999534827,33.38707679583537,46.88119811572462,37.62115392672982,35.86385741354338,4.095875,4.095875,4.095875,0.6015,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
420.021,30.0,25.75,26.125,26.062,26.562,27.8546875,25.1298828125,25.1994140625,25.5451171875,1019.1457886558268,1019.5222681696953,1019.342644971869,1019.1182591414905,33.1317924538704,46.84922898960868,37.66533915479985,35.89132171486015,4.095875,4.095875,4.095875,0.593125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
450.022,30.0,25.812,26.187,26.062,26.625,27.946484375,25.181640625,25.244921875,25.5955078125,1019.1673230185839,1019.5092555487035,1019.3372236901627,1019.1092805826808,33.09198928346234,46.96569160406807,37.98135859013131,36.108799737174515,4.095875,4.095875,4.095875,0.5985,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
480.024,30.25,25.875,26.25,26.125,26.687,28.0228515625,25.21796875,25.28515625,25.64609375,1019.1457610383662,1019.5232832951797,1019.3524530598703,1019.1211532126312,32.73745619076103,47.18714174986509,37.8647531895759,35.98003565072854,4.095875,4.095875,4.095875,0.58975,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
510.025,30.375,25.875,26.25,26.187,26.75,28.09921875,25.259375,25.3458984375,25.696484375,1019.1411084453301,1019.483649473986,1019.3494520884706,1019.0891434789903,32.93529603660948,47.684171048893035,37.931191923312426,36.16956361919536,4.095875,4.095875,4.095875,0.604,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
540.027,30.5,25.937,26.312,26.187,26.812,28.1705078125,25.30078125,25.3962890625,25.7470703125,1019.1691828514515,1019.4490136811183,1019.3249768460695,1019.1397419185388,33.68032591562388,47.16671693791472,37.96437011819412,36.34233240656941,4.095875,4.095875,4.095875,0.5796250000000001,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
570.029,30.625,26.0,26.375,26.25,26.875,28.23671875,25.3525390625,25.446875,25.792578125,1019.1241434403516,1019.4377493297122,1019.3286141007183,1019.1121985347448,33.22077893925457,47.70796579413041,38.3359329303717,36.38669019821387,4.095875,4.095875,4.095875,0.5630000000000001,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
600.031,30.75,26.0,26.375,26.25,26.937,28.318359375,25.38359375,25.507421875,25.848046875,1019.1702151287122,1019.4582125754127,1019.3226637790614,1019.0983418623659,33.136983357385496,47.901741321637274,38.30810095192256,36.33053187169407,4.095875,4.095875,4.095875,0.5315,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
630.032,30.875,26.062,26.437,26.312,27.062,28.358984375,25.4353515625,25.5681640625,25.8986328125,1019.1646853472428,1019.4402510890927,1019.3093729277805,1019.0738781593951,33.34637706885649,48.045996719707894,38.39126389548969,36.268703421362794,4.095875,4.095875,4.095875,0.57675,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
660.033,30.875,26.062,26.5,26.375,27.125,28.4251953125,25.4818359375,25.6236328125,25.9591796875,1019.1394390395004,1019.455682790962,1019.2934855637905,1019.1055873544851,33.09126113956347,47.88175720024571,38.47444094125969,36.41920511115374,4.095875,4.095875,4.095875,0.5905,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
690.035,31.0,26.125,26.5,26.437,27.187,28.486328125,25.5232421875,25.67421875,26.009765625,1019.1407199883959,1019.4561882450788,1019.3304902995752,1019.0978973791405,33.494031307578524,47.992835354668074,38.524304981317584,36.715028868808034,4.095875,4.095875,4.095875,0.559125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
720.036,31.125,26.187,26.562,26.437,27.25,28.5474609375,25.569921875,25.7248046875,26.0703125,1019.1351476101653,1019.4299412053571,1019.3377005162419,1019.094600053194,32.923662610650176,48.37438874182188,38.685214612811045,36.41848833498488,4.095875,4.095875,4.095875,0.5583750000000001,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
750.037,31.25,26.187,26.562,26.5,27.312,28.60859375,25.611328125,25.7904296875,26.1259765625,1019.1166057765106,1019.4520421795139,1019.3019975897091,1019.0982124348571,33.19934098099179,48.25408566487656,38.62963861208149,36.29500967740544,4.095875,4.095875,4.095875,0.551875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
780.039,31.375,26.25,26.625,26.562,27.375,28.6595703125,25.652734375,25.8509765625,26.1814453125,1019.1076935965076,1019.4473097142676,1019.3075767162309,1019.0890837588119,33.0603303803739,48.45923897695603,38.635156727705365,36.110156601042455,4.095875,4.095875,4.095875,0.57675,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
810.041,31.375,26.25,26.687,26.562,27.5,28.715625,25.709765625,25.9015625,26.2421875,1019.088905163921,1019.427714217039,1019.2879273235939,1019.0868144429702,33.042972534427776,48.570717586986916,38.740597562406386,36.50127287647633,4.095875,4.095875,4.095875,0.60675,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
