t(s),T_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
0.0,24.375,23.875,23.937,23.875,24.0,26.33671875,25.3990234375,25.820703125,25.423828125,1002.8042619996128,1002.5995443303183,1002.3799466783497,1002.271474449777,89.17125720639027,89.00883662886628,89.8162573409915,87.81491193536371,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.08521858548867,4.183657587548638,0.9351705195696957,1.985186541542687,1.8375280384527353,1.7390890363927674
30.0,24.375,23.875,24.0,23.875,24.062,26.1380859375,25.280078125,25.8005859375,25.5451171875,1002.8313675957339,1002.6563734721027,1002.4964486295013,1002.3571969598902,89.41961504333145,89.68247711066262,90.55808005825817,89.1242182113485,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9187640192263676,1.985186541542687,1.8375280384527353,1.6898695353627833
60.001,24.375,23.937,24.0,23.937,24.125,25.919140625,25.0833984375,25.6388671875,25.4541015625,1002.8157549650116,1002.7043452935916,1002.5114535171878,1002.3552123901254,88.59068354160866,90.00441497834179,90.79530015520471,88.98721544201905,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9679835202563517,2.0179995422293433,1.8047150377660794,1.7883085374227512
90.003,24.25,23.937,24.0,24.0,24.125,25.705078125,24.896875,25.441796875,25.3025390625,1002.8078917981095,1002.7170095335903,1002.5390385405996,1002.4162008905671,88.96657900328222,89.94939199472061,91.28603536545374,89.55214920011832,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9351705195696957,2.0344060425726713,1.8375280384527353,1.6898695353627833
120.004,24.25,23.937,24.062,24.0,24.187,25.460546875,24.68984375,25.244921875,25.130859375,1002.6404646514208,1002.5845626023824,1002.3983273769504,1002.361557956758,88.34103880926301,90.30715508921485,91.1965145662738,89.6878155554658,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9679835202563517,1.9687800411993592,1.8375280384527353,1.7719020370794232
150.005,24.375,23.937,24.062,24.0,24.125,25.2619140625,24.5189453125,25.0427734375,24.969140625,1002.6556403792897,1002.5934095548182,1002.411980488835,1002.3679951296442,87.8419426614985,90.17223065424115,91.06025865756189,89.23115121705221,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9679835202563517,2.0015930418860153,1.8047150377660794,1.8047150377660794
180.007,24.25,23.937,24.062,24.0,24.187,25.06328125,24.35859375,24.87109375,24.817578125,1002.6278805415583,1002.633733923731,1002.4342683070207,1002.4169329398196,87.95577506838902,90.46964624989596,91.16698795938113,88.82959980253179,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9351705195696957,2.0015930418860153,1.8047150377660794,1.7226825360494393
210.009,24.25,23.937,24.062,24.0,24.187,24.8798828125,24.213671875,24.69921875,24.676171875,1002.5934677129345,1002.6254008858898,1002.3783439911255,1002.3782885440452,88.39392491912088,90.8705920533453,91.04714741254597,87.74952087724701,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9351705195696957,2.0344060425726713,1.8539345387960633,1.7062760357061113
240.01,24.25,23.937,24.062,24.0,24.187,24.7271484375,24.06875,24.54765625,24.5296875,1002.6182204582703,1002.660095545141,1002.4357596757328,1002.3933749343225,88.6424909431626,90.77293046803828,91.18644799532598,87.80553486236926,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9187640192263676,1.9687800411993592,1.8047150377660794,1.7883085374227512
270.012,24.25,23.937,24.125,24.0,24.187,24.57421875,23.933984375,24.39609375,24.403515625,1002.5906191559847,1002.6180635806357,1002.3977631695932,1002.4247124262079,89.05211891894541,90.85682078008686,91.14819969867011,87.75291233149035,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9679835202563517,2.0015930418860153,1.8047150377660794,1.7226825360494393
300.014,24.25,23.937,24.062,24.062,24.187,24.431640625,23.8201171875,24.26484375,24.2671875,1002.5794024560545,1002.6591557985588,1002.3909944005605,1002.3747291641164,89.1648923522132,90.97321091203811,91.0010220350214,88.05116805939859,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9187640192263676,1.9687800411993592,1.8047150377660794,1.7719020370794232
330.015,24.25,24.0,24.062,24.062,24.187,24.309375,23.70625,24.1435546875,24.1609375,1002.5500913163886,1002.605258317262,1002.3624953504275,1002.3888522480752,89.66674365996096,91.04072006580446,91.51864813978754,87.88556960829028,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9351705195696957,2.0344060425726713,1.8539345387960633,1.7062760357061113
360.017,24.25,24.0,24.062,24.062,24.187,24.1921875,23.6130859375,24.032421875,24.0548828125,1002.5372447363261,1002.6044257886639,1002.3476027422269,1002.4012297163438,89.87483526568003,91.19735655900745,91.22681295632525,88.57046163051879,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9679835202563517,2.0344060425726713,1.8539345387960633,1.7226825360494393
390.019,24.25,24.0,24.062,24.062,24.187,24.080078125,23.5302734375,23.9314453125,23.969140625,1002.4652132686632,1002.5552782829842,1002.3135282307544,1002.2941863698671,90.28744245069153,91.54429806123879,91.46535278286153,88.4015762176954,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9187640192263676,2.0179995422293433,1.8047150377660794,1.7390890363927674
420.02,24.25,23.937,24.062,24.062,24.187,23.9833984375,23.4267578125,23.8302734375,23.86796875,1002.4540958278294,1002.5476394346156,1002.2890155495553,1002.331260790007,90.97730912640263,91.63209715561585,91.76906792372687,88.86253337229863,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9351705195696957,1.9687800411993592,1.8047150377660794,1.8047150377660794
450.021,24.25,24.0,24.062,24.062,24.25,23.901953125,23.354296875,23.749609375,23.7873046875,1002.4432638615295,1002.5730652959364,1002.3327862988084,1002.303136382321,91.58003739739051,91.61748270096292,91.93237701194722,89.37363961022376,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9515770199130236,2.0179995422293433,1.8539345387960633,1.7719020370794232
480.022,24.25,23.937,24.062,24.062,24.25,23.825390625,23.3025390625,23.6787109375,23.7166015625,1002.4424479398516,1002.5570906936601,1002.2764147379432,1002.3305146615977,92.1197017608599,92.09239410549159,91.83036724807204,89.46364414350714,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9187640192263676,1.985186541542687,1.8375280384527353,1.7719020370794232
510.023,24.375,24.0,24.125,24.062,24.25,23.7439453125,23.2248046875,23.6080078125,23.655859375,1002.405495444835,1002.5110294557453,1002.262526888339,1002.3168749073321,92.34303059297457,92.08374299714899,92.11135979452203,90.09588352330272,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9515770199130236,2.0015930418860153,1.8375280384527353,1.6898695353627833
540.026,24.25,24.0,24.062,24.062,24.25,23.677734375,23.173046875,23.5373046875,23.5953125,1002.4030056706393,1002.5514046222188,1002.2612754965479,1002.3404920172006,92.45397103527624,92.7004308187876,92.29864678911942,90.82741925335556,-0.105875,-0.10337500000000001,-0.100875,-0.10337500000000001,4.183657587548638,4.183657587548638,4.068812085145343,4.183657587548638,0.9515770199130236,1.9687800411993592,1.8047150377660794,1.7390890363927674
