time,t(s),T_{env},P_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
1729503746.3087122,0.0,22.598828125,1020.2134882575701,22.625,22.625,22.312,22.812,25.59296875,24.3740234375,24.8810546875,24.5296875,1012.5330639716225,1021.8189102971089,1019.7705170827714,1025.630251872712,100,80.40022714484385,49.38345201358345,44.711802172819205,4.095875,4.095875,4.095875,0.52825,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503776.3090026,30.0,22.4724609375,1020.2871424085175,22.625,22.625,22.312,22.812,25.694921875,24.503515625,25.017578125,24.60546875,1011.9884656146534,1019.6757017729419,1018.0594977828338,1023.0085012173253,100,79.91816462929269,48.85073542860465,44.32377063803445,4.095875,4.095875,4.095875,0.532375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503806.3108613,60.002,22.34609375,1020.3268740601006,22.562,22.562,22.312,22.812,25.6439453125,24.4931640625,25.0427734375,24.60546875,1011.997265093633,1018.4345704521486,1017.2208745707039,1021.5502777429834,100,78.95241832090605,49.00578227839524,44.184869856816626,4.095875,4.095875,4.095875,0.537375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503836.3119376,90.003,22.2751953125,1020.3497810592875,22.5,22.562,22.25,22.75,25.4912109375,24.3896484375,24.9466796875,24.5296875,1012.255766095409,1017.5196096196302,1016.8137049872689,1020.5845246089633,100,78.3382705196521,49.11961823297203,44.03382875272413,4.095875,4.095875,4.095875,0.543875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503866.3137686,120.005,22.21953125,1020.2994435791129,22.5,22.5,22.25,22.75,25.2822265625,24.2291015625,24.78515625,24.393359375,1012.664429720948,1016.8758187907339,1016.5966239138298,1019.8911398839687,100,77.86698716153408,49.49139080578529,43.96001906542134,4.095875,4.095875,4.095875,0.57925,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503896.315587,150.007,22.1640625,1020.3179717174912,22.437,22.5,22.25,22.687,25.0734375,24.0791015625,24.6083984375,24.23671875,1013.175882484163,1016.410689057204,1016.5716345600459,1019.4329111055329,100,77.83117526921555,49.79648801120983,44.447073338634596,4.095875,4.095875,4.095875,0.58925,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503926.3174965,180.009,22.138671875,1020.3475436753163,22.437,22.437,22.25,22.687,24.8443359375,23.9029296875,24.421484375,24.0701171875,1013.6854625868737,1016.0453526439248,1016.5886046185292,1019.0921052554332,100,78.07187400000443,50.01769292855876,44.72272058546625,4.095875,4.095875,4.095875,0.566125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503956.319273,210.011,22.0931640625,1020.3438155818186,22.437,22.437,22.25,22.625,24.6201171875,23.721875,24.2345703125,23.9083984375,1014.1693925297643,1015.7284015242279,1016.6927539019023,1018.7721692485334,100,77.94745669493028,50.38251390931789,44.997931940475155,4.095875,4.095875,4.095875,0.598375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729503986.320405,240.012,22.0779296875,1020.3272037364025,22.375,22.375,22.25,22.625,24.3958984375,23.561328125,24.0375,23.741796875,1014.6003671346599,1015.5100753107732,1016.8024847536258,1018.5225199229753,100,78.38386030066398,50.531554519657085,44.712724238855245,4.095875,4.095875,4.095875,0.57675,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504016.3214846,270.013,22.0779296875,1020.3362892231276,22.375,22.375,22.187,22.625,24.187109375,23.395703125,23.8607421875,23.5650390625,1015.0628332068566,1015.2964223600025,1016.8819075493458,1018.323271314901,100,78.52694248340109,50.92908903323037,45.22623636087442,4.095875,4.095875,4.095875,0.579,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504046.3232307,300.015,22.0728515625,1020.2977022529245,22.312,22.375,22.187,22.625,23.9935546875,23.2404296875,23.6888671875,23.4236328125,1015.4011720885632,1015.1795622596769,1017.0290580616261,1018.1282532919325,100,78.4324024909528,50.88584640874661,45.63416264202012,4.095875,4.095875,4.095875,0.569875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504076.325044,330.016,22.0728515625,1020.3230773626176,22.312,22.375,22.187,22.625,23.81015625,23.0955078125,23.50703125,23.2822265625,1015.7979797173113,1015.0448057071807,1017.1052184582361,1017.9719057526256,100,78.91337370780299,51.32674360431313,45.781571505085374,4.095875,4.095875,4.095875,0.5805,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504106.3261025,360.017,22.0728515625,1020.3042427437747,22.312,22.375,22.187,22.625,23.647265625,22.9556640625,23.35546875,23.140625,1016.1436699149319,1014.9547233420394,1017.2236819942717,1017.82605491116,100,79.17392455950586,51.74551212617569,45.57446604386098,4.095875,4.095875,4.095875,0.5775,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504136.3278344,390.019,22.0375,1020.3014936318442,22.312,22.375,22.187,22.625,23.5044921875,22.8314453125,23.219140625,23.0294921875,1016.4964374602631,1014.8778686883196,1017.415348498726,1017.7253966417849,100,79.36364602419779,51.89559507645382,46.17066906707682,4.095875,4.095875,4.095875,0.550625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504166.3288844,420.02,22.032421875,1020.3125365276928,22.312,22.312,22.187,22.562,23.3568359375,22.7123046875,23.0826171875,22.9134765625,1016.8148131838024,1014.7981145950222,1017.5368489092003,1017.5795205015188,100,79.82035103530363,52.14449532887054,46.37903399767524,4.095875,4.095875,4.095875,0.568875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729504196.330423,450.022,22.042578125,1020.3101251456361,22.312,22.312,22.187,22.562,23.2244140625,22.6087890625,22.9564453125,22.8173828125,1017.0668443104477,1014.7532557049624,1017.6961411219977,1017.5262912713761,100,80.45145037453514,52.4148870867498,46.60403949492905,4.095875,4.095875,4.095875,0.569375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
