t(s),T_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
0.0,22.875,22.062,22.125,22.062,22.312,21.7166015625,21.345703125,21.5974609375,21.6708984375,1017.0223977913291,1016.9371335139989,1017.0732286731442,1016.9790903060533,100,100,100,100,4.095875,4.095875,4.095875,4.095875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
30.0,22.875,22.062,22.187,22.125,22.312,21.7216796875,21.3560546875,21.6228515625,21.69609375,1017.0313845818372,1016.9741259078181,1017.0541072044971,1016.9306912371678,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9523735408560312,1.9031540398260471,1.6406500343327994
60.002,22.875,22.062,22.125,22.125,22.312,21.7166015625,21.3560546875,21.6279296875,21.701171875,1017.0342580363546,1016.9556296323277,1017.0791757231428,1016.9911193907785,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9195605401693752,1.9523735408560312,1.6570565346761272
90.004,22.75,22.062,22.187,22.125,22.312,21.7166015625,21.345703125,21.6279296875,21.701171875,1017.0199250798486,1016.9658664680946,1017.052918087104,1016.9988668065985,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.8695445181963837,1.9031540398260471,1.8867475394827193,1.6570565346761272
120.005,22.875,22.062,22.187,22.125,22.312,21.7166015625,21.345703125,21.6228515625,21.69609375,1017.0209612747976,1016.9871649180667,1017.0902111699027,1016.9882871019424,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9359670405127034,1.5914305333028154
150.007,22.75,22.062,22.187,22.125,22.312,21.7013671875,21.340625,21.6076171875,21.6759765625,1017.0831685431024,1016.9802863514406,1017.1000577114991,1017.0024045423552,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9523735408560312,1.6734630350194555
180.008,22.875,22.062,22.187,22.125,22.312,21.7013671875,21.325,21.6025390625,21.6759765625,1017.0238341765007,1016.980046352539,1017.0826225322114,1017.0097155001008,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9031540398260471,1.6242435339894714
210.009,22.75,22.062,22.187,22.062,22.312,21.6962890625,21.325,21.6025390625,21.6556640625,1017.0289458680387,1016.9751059739604,1017.0657595350187,1016.941034320855,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9031540398260471,1.6734630350194555
240.011,22.75,22.062,22.187,22.125,22.312,21.7064453125,21.325,21.5974609375,21.6505859375,1017.013288188895,1016.9402526002814,1017.0505377301462,1016.958805190684,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9195605401693752,1.6406500343327994
270.012,22.75,22.062,22.187,22.125,22.312,21.6962890625,21.325,21.5974609375,21.645703125,1017.0336562135057,1016.9402136070123,1017.0538197765854,1016.9702098483191,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9523735408560312,1.6898695353627833
300.013,22.75,22.062,22.187,22.125,22.312,21.6962890625,21.325,21.592578125,21.645703125,1017.0598483238119,1016.945192698064,1017.1051444405035,1016.957103874,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9195605401693752,1.9031540398260471,1.6898695353627833
330.015,22.75,22.062,22.187,22.125,22.312,21.6962890625,21.325,21.5875,21.640625,1017.03620589816,1016.9535300724376,1017.0538197765854,1016.945699181519,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9031540398260471,1.6734630350194555
360.017,22.875,22.062,22.187,22.125,22.312,21.6912109375,21.325,21.592578125,21.635546875,1017.0565743090989,1016.9233771135914,1017.0573846171429,1016.9493538250396,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9195605401693752,1.6898695353627833
390.019,22.875,22.062,22.187,22.125,22.312,21.6962890625,21.325,21.572265625,21.6203125,1017.017286153152,1016.933335131105,1017.0726064381921,1016.9402194220644,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9195605401693752,1.9195605401693752,1.6406500343327994
420.021,22.75,22.125,22.187,22.125,22.312,21.7013671875,21.325,21.57734375,21.615234375,1017.0249479007501,1016.9551508820011,1017.0906574171291,1016.9572317704764,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9523735408560312,1.6242435339894714
450.022,22.875,22.062,22.187,22.125,22.312,21.6962890625,21.3302734375,21.5671875,21.6052734375,1017.0200369239217,1016.9504504387853,1017.0306761481651,1016.9793478340778,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9523735408560312,1.6898695353627833
480.023,22.875,22.125,22.187,22.125,22.312,21.6912109375,21.319921875,21.57734375,21.6103515625,1017.025471182503,1016.9236557661976,1017.0602136134856,1016.9606342410148,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9031540398260471,1.6734630350194555
510.024,22.75,22.062,22.187,22.125,22.312,21.6962890625,21.3146484375,21.5671875,21.6052734375,1016.9936444484015,1016.9153573517021,1017.0618545844121,1016.9645396192855,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9523735408560312,1.6898695353627833
540.025,22.875,22.062,22.187,22.125,22.312,21.6912109375,21.319921875,21.572265625,21.6001953125,1017.0085779803011,1016.9070589389042,1017.0060616101605,1016.9533257805709,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9523735408560312,1.5914305333028154
570.027,22.875,22.062,22.187,22.187,22.375,21.6962890625,21.3146484375,21.57734375,21.6052734375,1016.9805486266906,1016.9183981057514,1017.0388809974856,1016.943621891176,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9523735408560312,1.5914305333028154
600.029,22.875,22.062,22.187,22.125,22.375,21.6912109375,21.3302734375,21.57734375,21.6103515625,1017.0238341765007,1016.912277103519,1017.0688715063594,1016.9805459874805,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9523735408560312,1.6898695353627833
630.03,22.75,22.062,22.187,22.125,22.375,21.6962890625,21.325,21.5671875,21.615234375,1017.0134889557422,1016.9087186213278,1017.045444878137,1016.9499232559913,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9523735408560312,1.6898695353627833
660.032,22.875,22.062,22.187,22.125,22.312,21.6861328125,21.325,21.5671875,21.615234375,1017.0314958707793,1016.926696452491,1017.048726818861,1016.9720396708591,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9031540398260471,1.6898695353627833
690.034,22.75,22.125,22.187,22.125,22.375,21.6962890625,21.319921875,21.562109375,21.6052734375,1017.0336562135057,1016.9020798920403,1017.0988624102105,1016.9574833348562,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9523735408560312,1.9523735408560312,1.6406500343327994
720.036,22.75,22.062,22.187,22.125,22.312,21.6861328125,21.319921875,21.5572265625,21.6052734375,1017.0329319389009,1016.8982425138612,1017.0341199441398,1016.9171574861523,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9523735408560312,1.6734630350194555
750.038,22.75,22.062,22.187,22.125,22.375,21.6912109375,21.304296875,21.5572265625,21.5951171875,1017.0296579799059,1016.8767062350936,1017.0399490291471,1016.9310184752146,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9523735408560312,1.6734630350194555
780.04,22.875,22.062,22.187,22.125,22.375,21.6810546875,21.304296875,21.5572265625,21.5900390625,1016.9965168182342,1016.901561797015,1017.0645632004234,1016.9318385165114,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9523735408560312,1.6570565346761272
